mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.7984809398651125,0.05725331548577602,0.24501409530639648,0.006169033841125356,balanced_subsample,20,sqrt,2,13,513,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 513}",0.9171717171717172,0.9252525252525252,0.90234375,0.8984375,0.9395833333333333,0.9165577651515152,0.015076702665248135,15,0.990622655663916,0.989247311827957,0.9906683480453973,0.991046658259773,0.9872208436724565,0.9897611634939001,0.0014096040360592084
2.2864826679229737,0.08508703339004273,0.2928770065307617,0.022011411636871443,balanced,3,sqrt,3,8,340,"{'class_weight': 'balanced', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 340}",0.9272727272727274,0.9232323232323232,0.9140625,0.888671875,0.9291666666666667,0.9164812184343434,0.014846982568664045,16,0.9767441860465116,0.9734933733433359,0.9769230769230769,0.9788146279949559,0.9714640198511166,0.9754878568317993,0.002641017024216974
2.809631872177124,0.1372500467747011,0.31697998046875,0.039245825853698145,balanced,,sqrt,2,2,403,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 403}",0.9151515151515152,0.9272727272727272,0.916015625,0.890625,0.9333333333333333,0.9164796401515151,0.014635431984835566,17,0.9997499374843711,0.9994998749687422,0.9996216897856243,0.9992433795712485,0.9997518610421836,0.9995733485704339,0.000189560085857098
3.948419427871704,0.12111913283930952,0.5374711990356446,0.02060110683419074,,20,sqrt,4,13,609,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 609}",0.9171717171717172,0.9191919191919191,0.904296875,0.892578125,0.9479166666666666,0.9162310606060606,0.01852304131956862,18,0.9844961240310077,0.9828707176794198,0.9852459016393443,0.9875157629255991,0.9815136476426799,0.98432843078361,0.0020531386511530784
1.9677422523498536,0.1120659601203682,0.1917118549346924,0.01044193002512329,balanced_subsample,,log2,8,4,211,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 211}",0.9212121212121211,0.9191919191919191,0.916015625,0.904296875,0.9166666666666667,0.9154766414141415,0.005888851466310214,19,0.9777444361090273,0.9777444361090273,0.9760403530895334,0.9802017654476671,0.9755583126550869,0.9774578606820684,0.0016316172832531878
2.7204331398010253,0.19127531428883449,0.2315272331237793,0.022645822691194327,balanced_subsample,20,log2,3,8,243,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 243}",0.9151515151515153,0.9272727272727272,0.900390625,0.896484375,0.9375,0.9153598484848485,0.015572459946475336,20,0.9936234058514629,0.9924981245311328,0.9957124842370744,0.9949558638083228,0.993424317617866,0.9940428392091718,0.001145946349082193
2.735962915420532,0.08774283005881112,0.28061580657958984,0.03138095565994335,,,sqrt,9,14,358,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 14, 'n_estimators': 358}",0.913131313131313,0.9171717171717171,0.9140625,0.896484375,0.9354166666666668,0.9152533143939394,0.012397056572789021,21,0.9719929982495624,0.9726181545386348,0.9708701134930643,0.9757881462799496,0.9666253101736972,0.9715789445469817,0.002966806770633208
3.3345237731933595,0.2462713251037844,0.24427947998046876,0.03195763784058027,balanced_subsample,5,sqrt,5,11,330,"{'class_weight': 'balanced_subsample', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 330}",0.9171717171717172,0.9252525252525252,0.9140625,0.89453125,0.925,0.9152035984848486,0.011220267382063017,22,0.9849962490622656,0.9842460615153789,0.9833543505674653,0.9851197982345523,0.9813895781637717,0.9838212075086868,0.001369550154434799
2.2042354583740233,0.20393452113999913,0.3013339042663574,0.02628761562675557,balanced_subsample,3,log2,2,11,369,"{'class_weight': 'balanced_subsample', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 369}",0.9191919191919192,0.9191919191919191,0.91796875,0.884765625,0.9312500000000001,0.9144736426767677,0.01562531613163515,23,0.9772443110777694,0.9736184046011502,0.9764186633039091,0.9785624211853721,0.9714640198511166,0.9754615640038635,0.002572436094318079
1.8756247997283935,0.10065684472686381,0.24992499351501465,0.013745190617043516,,3,sqrt,2,10,445,"{'class_weight': None, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 445}",0.9232323232323232,0.9171717171717171,0.896484375,0.87890625,0.95625,0.9144089330808081,0.02614532600280093,24,0.9718679669917478,0.9737434358589647,0.9757881462799496,0.9752837326607818,0.971091811414392,0.9735550186411672,0.0018398013681109444
